Factory,Date,Location,Machine Type,Machine Utilization (%),Machine Downtime (hours),Maintenance History,Machine Age (years),Batch Quality (Pass %),Cycle Time (minutes),Energy Consumption (kWh),Energy Efficiency Rating,CO2 Emissions (kg),Emission Limit Compliance,Waste Generated (kg),Water Usage (liters),Shift,Operator Experience (years),Team Size,Operator Training Level,Absenteeism Rate (%),Product Category,Supplier,Supplier Delays (days),Raw Material Quality,Market Demand Index,Cost of Downtime ($),Revenue ($),Profit Margin (%),Breakdowns (count),Safety Incidents (count),Defect Root Cause,Production Volume (units),Defect Rate (%),Foam Density,Sales Data
Factory_4,18-07-2024,Location_A,Type B,50.34392254,5.906343694,Routine,1,92.32125444,33.59467836,179.94,D,38.21,Non-Compliant,10.38,2662.59,Morning,23,5,Advanced,9.019419492,Category B,Supplier Z,12,Medium,0.718333056,1572.93,65733.34,11.32,3,2,Operator Error,5706,6.09,1.53,42215
Factory_1,23-10-2020,Location_C,Type A,57.30451346,6.702120653,None,7,97.4584116,57.82958634,168.23,C,45.13,Compliant,12.52,3596.94,Night,27,5,Intermediate,9.671183772,Category C,Supplier Z,21,Medium,0.764829962,5271.93,40718.33,27.05,4,5,Machine Fault,4288,8.54,1.22,40929.85
Factory_1,08-08-2024,Location_B,Type B,54.52575321,3.318624488,None,17,88.83619365,33.66682122,336.02,C,29.68,Compliant,17.31,4508.54,Evening,5,10,Intermediate,4.173272002,Category B,Supplier Z,30,High,0.056688104,4068.77,66512.8,27.79,4,0,Machine Fault,4260,4.22,0.65,10345.96
Factory_2,04-11-2021,Location_D,Type C,94.89612139,6.613938931,Major Repair,14,94.89010587,8.859283591,219.62,B,28.64,Non-Compliant,9.59,3978.48,Morning,28,2,Basic,4.060353383,Category A,Supplier X,2,Low,0.637185972,2443.57,73194.69,27.41,2,1,Machine Fault,6806,8.1,1.2,43897.73
Factory_1,29-09-2023,Location_C,Type B,86.90343455,6.513614923,Major Repair,12,89.26868379,10.33992868,423.21,D,20.52,Non-Compliant,11.92,2195.83,Morning,16,6,Basic,12.97493284,Category B,Supplier Z,13,Low,0.923531819,1615.87,62786.32,19.99,4,3,Material,4718,2.16,0.74,29827.35
Factory_1,04-06-2020,Location_C,Type B,98.52196642,6.385491236,Major Repair,10,96.87876292,12.19749871,465.68,A,12.5,Compliant,3.65,2349.76,Night,3,7,Intermediate,17.29687422,Category C,Supplier Y,11,Medium,0.551929907,1796.32,65911.74,23.65,3,5,Material,5428,8.87,1.31,39640.08
Factory_2,21-12-2020,Location_D,Type B,51.79443365,8.75620687,Routine,18,88.88940479,42.26792012,185.59,A,14.46,Compliant,13.65,2042.75,Evening,16,5,Basic,9.60655196,Category A,Supplier X,18,Medium,0.49372968,3467.75,96632.4,28.56,3,3,Machine Fault,8409,7.27,1.82,29625.89
Factory_2,31-01-2021,Location_B,Type B,82.88092308,4.841629694,Routine,20,87.85171025,10.67327335,196.49,A,11.51,Compliant,3.27,2186.15,Evening,10,6,Intermediate,0.198820435,Category C,Supplier Y,0,High,0.364327551,6898.45,91626.25,7.84,2,4,Operator Error,6831,6.81,1.09,6449.59
Factory_5,23-07-2020,Location_C,Type C,66.21840075,9.697627787,Routine,11,86.49225549,35.16960232,496.58,B,34.75,Non-Compliant,16.86,1166.36,Night,28,7,Basic,5.333175072,Category C,Supplier X,30,High,0.777821739,5539.58,70061.32,6.64,2,0,Machine Fault,7711,0.46,1.44,41884.27
Factory_5,06-04-2024,Location_D,Type C,65.58542539,9.404858195,None,6,93.22034613,42.63454139,356.71,C,40.6,Non-Compliant,4.52,3941.23,Morning,16,8,Basic,19.19677913,Category A,Supplier Z,24,Medium,0.037786339,9262.28,63617.2,20.07,2,4,Material,6413,8.17,1.96,9252.18
Factory_1,18-02-2023,Location_B,Type C,57.05466846,1.258254423,Major Repair,13,88.09124441,41.55411067,391.62,C,44.63,Non-Compliant,15.5,2301.69,Evening,4,10,Intermediate,13.93730685,Category A,Supplier X,28,High,0.413112309,8889.22,44554.44,28.65,3,1,Operator Error,2853,1.92,1.25,44770.17
Factory_4,04-11-2022,Location_A,Type C,79.12053423,5.506795639,Major Repair,9,87.25992395,26.63677638,349.83,C,47.51,Non-Compliant,10.88,1083.18,Night,22,4,Basic,10.49983395,Category A,Supplier Z,8,Low,0.278409249,1391.01,41716.12,14.18,4,0,Material,9062,5.83,0.53,36530.79
Factory_1,29-11-2021,Location_B,Type C,60.25228819,3.704405086,None,11,95.45626709,6.121364766,244.55,D,22.93,Non-Compliant,13.52,1948.62,Morning,7,6,Advanced,19.61757926,Category B,Supplier Z,9,Medium,0.333506849,7057.25,12985.34,6.52,0,5,Machine Fault,6993,1.05,1.85,41328.04
Factory_4,07-07-2023,Location_D,Type C,85.30180266,1.621516035,Major Repair,19,96.01808325,44.73648834,358.96,B,31.98,Non-Compliant,12.67,3912.14,Morning,3,7,Basic,2.153653806,Category B,Supplier Y,6,Medium,0.332878694,2318.51,44724.61,14.78,3,1,Machine Fault,5779,5.76,0.74,43888.49
Factory_2,03-01-2022,Location_D,Type B,67.66101555,6.341366893,Major Repair,19,87.11921178,23.47294971,112.84,C,26.71,Non-Compliant,19.25,3918.49,Night,21,7,Basic,2.921203273,Category C,Supplier Z,10,Medium,0.89193083,2081.83,25455.37,17.81,1,1,Operator Error,7744,5.99,1.89,13526.5
Factory_5,21-04-2024,Location_C,Type C,72.11508048,8.873437972,Major Repair,15,94.65443617,27.13368709,481.39,A,30.76,Non-Compliant,13.79,2359.05,Evening,28,10,Advanced,6.639729116,Category B,Supplier Y,1,Low,0.847645625,9805.1,14375.01,21.07,0,1,Material,3939,6.53,1.69,30013.91
Factory_4,11-10-2021,Location_A,Type A,83.22694456,8.882508351,Major Repair,3,92.05613415,40.62392784,189.15,A,46.08,Compliant,8.1,3172.55,Evening,16,7,Basic,12.95635068,Category C,Supplier Z,21,Medium,0.487936792,6059.45,11376.34,9.52,1,3,Operator Error,4313,5.28,1.15,48094.85
Factory_1,06-11-2021,Location_A,Type B,75.14738332,8.896849141,Major Repair,9,86.30167425,15.2256154,467.21,D,10.93,Non-Compliant,13.87,2021.57,Morning,9,9,Advanced,9.990801345,Category C,Supplier Y,20,High,0.041473724,2320.82,56205.56,29.61,1,0,Material,1571,7.09,1.24,30449.34
Factory_5,18-02-2021,Location_D,Type A,67.66341173,4.164542916,Major Repair,15,95.74645725,9.896689471,209.51,D,35.34,Compliant,3.71,4111.98,Night,5,10,Basic,1.298813483,Category C,Supplier Y,11,Medium,0.485796014,2035.32,49239.44,18.8,1,0,Material,8174,4.8,0.76,47461.09
Factory_2,31-07-2024,Location_C,Type B,69.07262305,0.786201509,Routine,10,93.71922492,47.72394102,435.99,D,30.78,Compliant,19.05,2475.38,Night,12,9,Advanced,1.839768932,Category C,Supplier Y,6,Medium,0.536752796,3697.23,42038.2,24.9,4,2,Material,5548,8.07,1.5,20879.53
Factory_2,18-12-2023,Location_B,Type C,76.20939509,0.121257169,Major Repair,8,94.59729667,41.53585511,497.63,C,12.88,Non-Compliant,3.26,2517.15,Night,3,7,Basic,8.005424717,Category C,Supplier Y,16,High,0.892964118,5106.19,54581.78,25.98,4,1,Machine Fault,5379,1.71,1.7,6937.64
Factory_2,08-02-2023,Location_D,Type A,92.29036328,6.802694333,Routine,19,92.89750018,19.01194623,398.36,C,43.08,Non-Compliant,8.45,4012.44,Evening,9,9,Basic,11.25860182,Category C,Supplier Y,28,Medium,0.272509668,3293.56,85032.37,17.5,0,2,Operator Error,8679,1.67,0.83,7069.3
Factory_4,28-08-2021,Location_A,Type A,66.52137228,0.582909775,Routine,20,97.16413621,33.22656318,439.45,A,47.54,Non-Compliant,19.82,1003.71,Night,20,10,Intermediate,9.409068537,Category B,Supplier Y,3,High,0.98461928,5196.14,40992.58,23.92,4,2,Material,2237,7.13,1.64,17692.37
Factory_2,24-02-2023,Location_B,Type B,84.08904002,4.588458891,Routine,20,94.84731377,32.05713128,266.04,A,14.09,Compliant,19.06,1152.47,Night,16,9,Intermediate,7.536220192,Category B,Supplier Z,13,High,0.24433418,7424.47,41130.99,26.92,4,2,Machine Fault,6865,7.07,0.75,16414.29
Factory_1,21-08-2022,Location_C,Type A,69.91215727,9.900894795,Major Repair,12,90.19547488,29.22698791,317.95,B,24.22,Compliant,5.48,4552.85,Night,19,8,Intermediate,3.276791705,Category C,Supplier Y,24,Low,0.969775713,4662.03,33698.04,28.73,0,5,Operator Error,7091,3.99,1.04,16179.53
Factory_4,16-12-2024,Location_C,Type A,82.09733836,2.58158524,Major Repair,17,99.15268002,49.10644423,447.3,D,18.7,Non-Compliant,18.79,2573.17,Evening,13,2,Basic,18.36555074,Category A,Supplier Z,8,Medium,0.267835878,2229.35,92661.9,15.34,1,0,Material,5701,5.63,0.55,49348.2
Factory_5,26-06-2024,Location_C,Type B,89.29699793,4.427750248,None,3,93.85115101,55.63639755,139.81,D,37.83,Compliant,18.02,2749.07,Morning,26,6,Advanced,10.58869027,Category A,Supplier X,5,Medium,0.091454387,9197.9,53584.76,15.37,4,4,Material,4623,8.93,0.75,45498.49
Factory_1,07-02-2022,Location_D,Type B,51.13643792,7.56451799,None,17,98.08135207,14.93772391,361.76,A,17.22,Non-Compliant,1.19,4945.49,Night,23,7,Basic,0.319138008,Category B,Supplier Y,25,High,0.491205312,6509.44,86617.97,17.95,4,4,Operator Error,8866,9.04,1.4,40648.63
Factory_4,20-12-2020,Location_C,Type B,95.02328743,6.079181418,Routine,19,97.14752641,16.41975132,453.03,D,13.7,Compliant,1.53,2525.3,Evening,27,7,Basic,14.53962613,Category A,Supplier Z,22,High,0.382681477,4673.47,86656.11,28.86,3,1,Material,3314,9.68,1.71,33639.47
Factory_2,17-11-2021,Location_B,Type B,59.58517702,4.550083819,None,20,93.34340018,20.41782604,457.99,B,47.54,Compliant,13.51,3413.95,Morning,15,8,Basic,4.589746027,Category A,Supplier Z,21,Low,0.630974049,1674.52,34626.63,9.94,3,4,Operator Error,7379,9.07,0.55,19700.68
Factory_2,15-02-2023,Location_A,Type B,70.72726161,8.110513649,Major Repair,15,92.25663966,58.4789525,478.81,A,43.39,Non-Compliant,19.55,2727.85,Morning,6,7,Basic,4.30299089,Category C,Supplier X,5,Medium,0.559003238,9443.32,18202.43,21.15,0,2,Material,2596,6.63,1.43,47512.36
Factory_1,18-04-2024,Location_C,Type C,62.89096059,8.526950925,Major Repair,4,91.18372927,41.40185525,438.7,D,26.7,Non-Compliant,8.69,2732.59,Night,8,9,Basic,14.85230903,Category C,Supplier Z,16,Low,0.419119302,8543.95,43577.73,11.75,4,3,Machine Fault,4287,1.8,1.52,23789.87
Factory_2,15-11-2023,Location_A,Type B,67.68671106,9.985848082,Major Repair,12,96.39434604,46.56262495,174.74,B,13.26,Non-Compliant,16.08,1465.85,Evening,22,6,Intermediate,10.56678225,Category B,Supplier X,20,Low,0.103826796,3323.81,99884.5,11.8,0,5,Machine Fault,1518,9.78,1.29,24998.68
Factory_4,10-08-2024,Location_D,Type B,85.19592669,5.549081241,Routine,9,90.38331811,9.485674865,335.14,D,38.9,Compliant,12.58,3326.55,Morning,19,8,Intermediate,17.09621357,Category B,Supplier X,10,Medium,0.530325941,9886.54,31345.27,26.33,3,1,Operator Error,3265,6.0,0.57,6683.6
Factory_1,09-11-2023,Location_C,Type C,74.38884477,7.043352552,Routine,1,87.05838222,28.82350061,314.84,A,17.08,Non-Compliant,18.61,4527.41,Evening,28,5,Intermediate,11.33095251,Category A,Supplier X,30,Low,0.914866533,7515.95,79587.24,22.05,2,3,Machine Fault,4359,1.53,1.04,35414.81
Factory_4,26-01-2021,Location_A,Type B,75.56019516,3.561478999,None,8,91.25141828,52.55399516,326.95,C,40.55,Non-Compliant,16.97,4723.31,Morning,20,10,Intermediate,6.636425104,Category A,Supplier Z,16,Low,0.88905661,9456.45,48078.78,23.37,4,5,Operator Error,7550,2.26,0.67,14621.05
Factory_2,26-04-2024,Location_A,Type C,56.14235675,1.602060124,Major Repair,16,91.45117941,46.73888381,443.03,C,26.69,Non-Compliant,5.91,4640.11,Morning,22,6,Basic,5.862904067,Category B,Supplier Y,0,Medium,0.077370311,7950.18,11670.93,22.78,0,3,Operator Error,4649,8.08,1.1,37001.88
Factory_5,11-09-2020,Location_D,Type C,95.93116879,8.431377493,Routine,10,90.61114676,31.95697357,454.19,B,23.38,Non-Compliant,15.59,4603.99,Night,16,8,Intermediate,12.62336092,Category A,Supplier Z,5,High,0.410627378,4239.24,56006.76,8.44,1,5,Machine Fault,8585,3.21,0.56,16546.94
Factory_3,03-06-2023,Location_B,Type B,68.14986156,4.074806078,Major Repair,17,89.44984924,21.58382557,487.61,B,44.31,Non-Compliant,9.14,4122.31,Evening,18,10,Advanced,13.69436658,Category C,Supplier X,14,Low,0.204361077,4835.5,39596.28,16.86,0,4,Machine Fault,2586,9.96,0.68,6141.6
Factory_3,03-06-2022,Location_B,Type C,96.74532132,5.460562682,None,1,93.34450693,49.64347354,478.43,D,28.64,Compliant,12.77,4213.97,Evening,1,4,Advanced,3.204624879,Category C,Supplier Z,17,High,0.796652899,2027.82,68792.28,14.68,0,0,Machine Fault,2176,5.41,1.22,9355.44
Factory_2,15-10-2024,Location_C,Type A,94.87338855,9.92647944,None,10,93.94692768,32.1828035,430.55,D,33.93,Compliant,1.3,3870.1,Night,17,7,Advanced,11.40280245,Category B,Supplier X,4,Medium,0.889459487,9572.46,79314.16,12.2,0,2,Machine Fault,7379,4.63,1.66,18009.81
Factory_2,13-10-2020,Location_C,Type A,87.53161539,4.439103009,None,11,94.52365412,42.21056558,165.03,B,43.08,Non-Compliant,17.57,1295.81,Morning,3,7,Basic,16.08216812,Category B,Supplier Z,30,High,0.551957195,6684.84,59118.4,20.81,3,5,Machine Fault,5944,6.94,1.75,36210.22
Factory_5,13-08-2024,Location_A,Type C,84.17197388,2.630425345,Routine,13,94.09519757,27.86427072,115.92,C,10.3,Non-Compliant,9.32,2211.94,Morning,4,5,Basic,5.725239269,Category C,Supplier Y,6,High,0.291173371,3729.94,98640.05,6.69,1,1,Machine Fault,8181,5.77,1.71,48174.48
Factory_4,21-12-2022,Location_A,Type A,51.42970256,6.841873303,Routine,19,88.13102264,16.61542355,321.28,D,32.16,Non-Compliant,18.23,3426.14,Evening,3,5,Intermediate,9.044084483,Category C,Supplier Y,15,High,0.941040022,2819.63,78585.59,8.26,0,3,Machine Fault,2093,6.6,0.53,46500.69
Factory_3,11-11-2020,Location_A,Type B,97.5187077,3.464948853,None,1,90.20874332,40.14276545,497.02,D,13.34,Non-Compliant,8.59,4719.39,Evening,26,2,Intermediate,18.84835294,Category B,Supplier X,5,Low,0.348660471,8668.54,13303.3,20.13,3,1,Material,6613,5.94,1.04,35379.45
Factory_2,07-03-2024,Location_C,Type B,72.60489547,7.233938298,Routine,20,91.41475965,58.09926382,481.89,C,33.21,Compliant,7.46,3049.16,Morning,24,10,Intermediate,17.3715805,Category C,Supplier X,20,High,0.755301008,4393.44,60483.4,14.95,4,2,Material,7639,6.27,1.25,28451.81
Factory_5,22-03-2023,Location_A,Type A,61.16245119,2.600170552,Routine,13,92.58442866,42.09325642,131.28,D,16.8,Compliant,18.55,4385.3,Morning,6,3,Advanced,5.697748448,Category C,Supplier Z,22,Low,0.129279351,8483.2,43492.73,14.41,3,2,Machine Fault,2476,1.45,1.95,31412.19
Factory_1,09-05-2021,Location_A,Type C,87.09237546,4.635296895,None,8,95.15173628,45.42296705,286.32,D,32.63,Non-Compliant,12.2,4947.9,Night,7,8,Advanced,16.78259199,Category B,Supplier X,24,High,0.702324284,5668.94,74011.92,20.9,4,0,Material,9795,7.26,1.29,11835.1
Factory_4,06-09-2020,Location_C,Type A,88.966374,8.806410203,Major Repair,20,98.04928375,24.36475688,257.76,D,10.62,Compliant,3.78,3958.01,Night,6,6,Advanced,6.585965308,Category B,Supplier Z,25,Low,0.506511716,5475.5,13858.13,24.41,1,0,Machine Fault,4971,9.6,1.68,38827.75
Factory_1,31-10-2020,Location_B,Type A,96.13193258,3.625562084,None,2,87.15799919,24.84915238,130.77,A,47.73,Non-Compliant,2.55,1385.1,Morning,21,3,Intermediate,9.965105298,Category A,Supplier Y,8,Medium,0.605826447,6136.37,36876.97,13.26,3,2,Material,3102,6.48,0.59,24706.27
Factory_4,04-01-2020,Location_A,Type B,82.99124466,2.878394678,None,18,88.91103608,50.65707722,432.13,B,10.64,Non-Compliant,13.1,4010.62,Evening,7,6,Advanced,9.303392613,Category C,Supplier X,2,High,0.321461197,2095.1,30577.45,15.36,0,3,Machine Fault,2600,4.31,1.77,49319.01
Factory_1,28-03-2023,Location_D,Type A,71.08131508,5.376213391,Major Repair,14,95.62057316,8.329596718,308.48,B,23.2,Compliant,7.47,1493.54,Morning,8,5,Advanced,11.60269272,Category C,Supplier Z,0,Medium,0.639539164,1694.75,51245.38,21.59,0,0,Operator Error,9699,7.95,1.39,15893.27
Factory_4,08-06-2020,Location_B,Type C,55.14646316,9.625120614,Major Repair,12,85.10328382,14.12481358,103.12,D,12.81,Non-Compliant,14.32,1119.3,Evening,5,4,Advanced,3.837348565,Category B,Supplier Y,12,Medium,0.541353708,9613.19,58594.7,27.52,3,1,Machine Fault,8848,7.02,2.0,49429.34
Factory_1,05-08-2020,Location_A,Type A,51.56906432,2.947994545,None,11,92.33690483,27.83197214,109.81,C,12.25,Compliant,15.5,4107.98,Night,11,4,Advanced,16.08084945,Category B,Supplier Z,13,Medium,0.704779989,3404.76,65330.51,26.56,3,5,Machine Fault,4673,5.96,1.72,46801.08
Factory_5,19-06-2021,Location_D,Type B,56.12759694,6.361253862,Major Repair,16,94.71568858,13.01806653,281.53,D,15.52,Compliant,10.88,4110.09,Morning,20,4,Basic,19.02938475,Category A,Supplier X,26,Low,0.92656159,1786.94,32607.84,16.18,3,3,Operator Error,8218,6.64,1.16,12822.56
Factory_2,01-07-2020,Location_A,Type A,92.69002737,9.538336715,Routine,20,99.70909154,13.12477027,257.53,B,21.73,Non-Compliant,5.3,3088.75,Night,5,4,Basic,19.78280293,Category A,Supplier X,7,High,0.817528696,7681.62,96019.78,6.09,3,4,Material,2268,0.67,0.52,11161.11
Factory_1,04-07-2022,Location_C,Type C,52.70661431,4.083550702,None,5,95.14434005,54.37624801,248.08,A,31.18,Non-Compliant,15.82,3529.82,Morning,1,8,Intermediate,17.89811168,Category A,Supplier Y,23,High,0.051738076,3672.41,46100.41,9.62,3,5,Operator Error,2813,3.59,1.0,26457.46
Factory_2,21-10-2022,Location_A,Type B,52.9552112,8.164281918,None,8,98.12250942,15.10760548,251.72,B,34.11,Non-Compliant,11.7,3140.05,Evening,12,9,Intermediate,19.29589525,Category B,Supplier X,29,Low,0.08074808,7511.14,86221.62,12.14,2,2,Material,7462,4.58,1.65,14023.42
Factory_1,08-05-2021,Location_D,Type B,81.21421812,2.363350067,None,9,97.80016039,24.51710971,286.03,D,13.2,Non-Compliant,7.45,3632.69,Evening,21,10,Intermediate,13.45829888,Category C,Supplier Y,9,Low,0.59747931,1416.29,36676.09,11.34,3,2,Machine Fault,9996,2.02,1.9,20234.4
Factory_2,18-11-2020,Location_C,Type C,86.42768167,9.593068961,Routine,9,91.84841085,29.31452379,313.07,B,34.09,Compliant,17.49,1489.7,Night,10,9,Basic,3.677697054,Category C,Supplier Y,29,High,0.986502055,3240.46,18447.73,13.57,3,1,Operator Error,6085,9.9,0.91,48263.8
Factory_3,19-10-2022,Location_D,Type A,78.72092954,9.942392188,None,18,97.64536362,5.506282841,290.6,A,42.61,Non-Compliant,18.11,1104.83,Night,23,10,Advanced,12.24282834,Category C,Supplier X,29,Low,0.074512008,8288.93,88910.2,26.68,2,2,Machine Fault,6164,9.27,0.54,16092.86
Factory_1,01-07-2020,Location_C,Type C,96.33115747,2.653640464,Major Repair,13,96.84540057,36.04572018,378.96,B,32.99,Compliant,18.77,4568.86,Night,13,5,Advanced,15.899281,Category A,Supplier Y,28,Medium,0.018040542,2277.82,97903.96,5.59,3,4,Machine Fault,9822,1.33,1.14,41031.3
Factory_3,19-04-2022,Location_C,Type C,74.7253678,7.432870325,None,10,96.52989793,18.20545827,150.18,A,38.21,Compliant,17.65,3883.85,Evening,27,5,Advanced,10.64560669,Category B,Supplier Z,25,Low,0.383920738,7384.55,67968.2,17.69,0,3,Operator Error,6877,3.25,0.5,42410.93
Factory_3,14-02-2020,Location_B,Type B,87.70349886,0.099485269,None,16,88.21907696,54.60088589,485.95,D,39.56,Compliant,12.58,2461.59,Morning,24,7,Advanced,3.184431912,Category B,Supplier Z,9,Medium,0.68407576,5391.93,16945.37,16.42,4,1,Machine Fault,4384,0.78,0.79,37150.78
Factory_1,25-08-2023,Location_A,Type C,82.79038046,7.721140913,Major Repair,3,95.61275193,9.671180977,241.21,A,22.73,Non-Compliant,9.05,1693.82,Night,14,2,Intermediate,19.72946367,Category B,Supplier X,4,High,0.272012141,9462.09,97608.42,12.17,1,5,Operator Error,5770,4.22,0.85,30067.51
Factory_2,19-04-2020,Location_C,Type A,69.87328705,2.570318397,Major Repair,18,96.77242816,43.83793291,378.85,A,43.75,Compliant,6.81,1721.26,Night,10,8,Advanced,19.36908145,Category B,Supplier Z,26,High,0.493896691,1030.29,95607.18,16.57,0,2,Operator Error,6781,9.68,0.64,22729.62
Factory_5,23-03-2021,Location_B,Type C,62.73810648,6.873292347,Routine,3,96.75644829,10.02725207,108.09,C,17.78,Compliant,17.17,4236.64,Morning,25,6,Advanced,8.824265408,Category A,Supplier Y,25,Medium,0.280235779,7817.52,57258.25,22.39,4,4,Material,1528,8.74,1.83,25740.24
Factory_5,22-12-2024,Location_D,Type C,50.26783361,7.823003522,None,20,91.26992148,18.81908925,401.72,C,41.17,Compliant,5.3,1127.81,Evening,28,4,Basic,12.97135445,Category A,Supplier X,18,Low,0.571775411,3103.82,58555.38,23.85,4,0,Material,9652,9.36,1.57,47586.59
Factory_5,19-03-2023,Location_D,Type C,64.34225089,2.956952587,Major Repair,8,87.66276405,35.25225197,403.28,C,11.6,Non-Compliant,13.92,1045.75,Night,20,9,Intermediate,14.55408659,Category A,Supplier Z,14,Medium,0.278101326,6443.63,33318.54,29.16,1,4,Machine Fault,2283,5.96,0.75,29734.23
Factory_2,14-03-2021,Location_D,Type B,78.03803376,5.517040757,Routine,17,92.46093534,58.92741444,199.75,B,40.86,Compliant,10.41,2375.69,Morning,3,8,Advanced,2.73128104,Category B,Supplier X,14,High,0.519809252,3843.41,94553.96,14.01,3,4,Operator Error,3260,0.58,1.48,31174.74
Factory_2,09-07-2020,Location_A,Type B,71.44540699,3.721563453,Routine,10,93.15397318,52.48004181,225.73,B,30.32,Non-Compliant,14.15,2401.78,Morning,19,2,Advanced,4.532319626,Category B,Supplier Y,8,Low,0.62904162,3436.88,40342.63,10.8,2,2,Machine Fault,9317,2.39,1.34,49368.55
Factory_4,02-10-2021,Location_C,Type A,55.51432355,9.951429332,Major Repair,1,87.82811795,39.07271052,383.28,A,16.19,Compliant,3.14,2901.42,Night,28,8,Advanced,12.05691844,Category B,Supplier X,5,Medium,0.699580621,6408.55,71460.56,18.73,4,3,Operator Error,1028,9.14,1.6,12043.25
Factory_1,04-03-2024,Location_D,Type A,58.04908829,5.194624549,Major Repair,16,91.29374094,6.722716687,232.44,D,24.23,Non-Compliant,2.18,1897.07,Morning,21,2,Advanced,11.21038756,Category C,Supplier Z,10,High,0.304502111,3858.01,55502.3,16.11,1,5,Operator Error,7544,7.13,1.72,45596.34
Factory_5,03-08-2020,Location_A,Type B,79.22694311,2.724851639,Major Repair,16,97.25125337,42.91850688,178.59,A,26.14,Non-Compliant,1.05,3359.5,Night,28,2,Advanced,11.83388165,Category C,Supplier Y,5,Low,0.131907838,5465.81,73430.51,10.38,4,0,Material,5615,2.48,1.77,41184.57
Factory_1,14-06-2024,Location_D,Type A,51.24120441,4.969659448,None,14,91.49446969,29.80964084,436.3,C,41.75,Non-Compliant,13.29,4224.58,Evening,14,9,Advanced,17.45978943,Category C,Supplier Y,0,Medium,0.738424922,2603.62,73785.54,24.25,1,0,Material,5064,3.81,1.02,21059.55
